"","city","geo_location","location","station","line","opened_month","opened_day","opened_year","lon","lat"
"1","Brussels","Alma;Brussels, Belgium","Brussels, Belgium","Alma",1,"7","mei","1982",4.3534652,50.8452614
"2","Brussels","Amaule;Brussels, Belgium","Brussels, Belgium","Amaule",5,"6","okt","1982",4.312191,50.839535
"3","Brussels","Beaulieu;Brussels, Belgium","Brussels, Belgium","Beaulieu",5,"20","sep","1976",4.4096845,50.8150912
"4","Brussels","Beekkant;Brussels, Belgium","Brussels, Belgium","Beekkant",1,"8","mei","1981",4.323046,50.8535081
"5","Brussels","Belgica;Brussels, Belgium","Brussels, Belgium","Belgica",6,"6","okt","1982",4.3517103,50.8503396
"6","Brussels","Bizet;Brussels, Belgium","Brussels, Belgium","Bizet",5,"10","jan","1992",4.297093,50.824972
"7","Brussels","Bockstael;Brussels, Belgium","Brussels, Belgium","Bockstael",6,"6","10","1982",4.3492167,50.8792648
"8","Brussels","Centraal Station;Brussels, Belgium","Brussels, Belgium","Centraal Station",1,"17","dec","1969",4.3570163,50.8454872
"9","Brussels","COOVI;Brussels, Belgium","Brussels, Belgium","COOVI",5,"16","sep","2003",4.290139,50.816032
"10","Brussels","Clemenceau;Brussels, Belgium","Brussels, Belgium","Clemenceau",2,"18","jun","1993",4.331214,50.8409
"11","Brussels","De Brouck�re;Brussels, Belgium","Brussels, Belgium","De Brouck�re",1,"17","dec","1969",4.4021888,50.9083588
"12","Brussels","Delacroix;Brussels, Belgium","Brussels, Belgium","Delacroix",2,"4","sep","2006",4.3234784,50.8458363
"13","Brussels","Delta;Brussels, Belgium","Brussels, Belgium","Delta",5,"20","sep","1976",4.4044547,50.818232
"14","Brussels","Demey;Brussels, Belgium","Brussels, Belgium","Demey",5,"7","jun","1977",4.420862,50.8135548
"15","Brussels","Eddy Merckx;Brussels, Belgium","Brussels, Belgium","Eddy Merckx",5,"16","sep","2003",4.281681,50.816485
"16","Brussels","Erasmus;Brussels, Belgium","Brussels, Belgium","Erasmus",5,"16","sep","2003",4.2658926,50.8134447
"17","Brussels","Gribaumont;Brussels, Belgium","Brussels, Belgium","Gribaumont",1,"20","sep","1976",4.4177128,50.8422756
"18","Brussels","Graaf van Vlaanderen��;Brussels, Belgium","Brussels, Belgium","Graaf van Vlaanderen��",1,"8","mei","1981",4.3403135,50.85493
"19","Brussels","Hallepoort;Brussels, Belgium","Brussels, Belgium","Hallepoort",2,"2","okt","1988",4.3448699,50.833011
"20","Brussels","Hankar;Brussels, Belgium","Brussels, Belgium","Hankar",5,"20","sep","1976",4.4054181,50.8213093
"21","Brussels","Heizel;Brussels, Belgium","Brussels, Belgium","Heizel",6,"10","mei","1985",4.3366464,50.8966986
"22","Brussels","Herrmann-Debroux;Brussels, Belgium","Brussels, Belgium","Herrmann-Debroux",5,"23","mrt","1985",4.4281877,50.8123271
"23","Brussels","Het Rad;Brussels, Belgium","Brussels, Belgium","Het Rad",5,"16","sep","2003",4.2965106,50.8200369
"24","Brussels","Houba-Brugmann;Brussels, Belgium","Brussels, Belgium","Houba-Brugmann",6,"10","mei","1985",4.3371659,50.8904046
"25","Brussels","Jacques Brel;Brussels, Belgium","Brussels, Belgium","Jacques Brel",5,"6","okt","1982",4.3671956,50.8516584
"26","Brussels","Jos�phine-Charlotte;Brussels, Belgium","Brussels, Belgium","Jos�phine-Charlotte",1,"20","sep","1976",4.4138632,50.8401902
"27","Brussels","Koning Boudewijn;Brussels, Belgium","Brussels, Belgium","Koning Boudewijn",6,"25","aug","1998",4.3340722,50.8956998
"28","Brussels","Kraainem;Brussels, Belgium","Brussels, Belgium","Kraainem",1,"31","aug","1988",4.4592974,50.8610856
"29","Brussels","Kruidtuin;Brussels, Belgium","Brussels, Belgium","Kruidtuin",2,"18","aug","1974",4.366154,50.853104
"30","Brussels","Kunst-Wet;Brussels, Belgium","Brussels, Belgium","Kunst-Wet",1,"17","dec","1969",4.3688622,50.8452588
"31","Brussels","Louiza;Brussels, Belgium","Brussels, Belgium","Louiza",2,"19","08","1985",4.3551805,50.8361468
"32","Brussels","Maalbeek;Brussels, Belgium","Brussels, Belgium","Maalbeek",1,"17","dec","1969",4.377612,50.843665
"33","Brussels","Madou;Brussels, Belgium","Brussels, Belgium","Madou",2,"20","dec","1970",4.3693595,50.8498369
"34","Brussels","Merode;Brussels, Belgium","Brussels, Belgium","Merode",1,"20","sep","1976",4.3988431,50.8395013
"35","Brussels","Montgomery;Brussels, Belgium","Brussels, Belgium","Montgomery",1,"20","sep","1976",4.407182,50.837123
"36","Brussels","Munthof;Brussels, Belgium","Brussels, Belgium","Munthof",2,"2","okt","1988",4.3503139,50.8334406
"37","Brussels","Naamsepoort;Brussels, Belgium","Brussels, Belgium","Naamsepoort",2,"20","12","1970",4.3622405,50.838216
"38","Brussels","Ossegem;Brussels, Belgium","Brussels, Belgium","Ossegem",2,"6","10","1982",4.3144959,50.8541509
"39","Brussels","Pannenhuis;Brussels, Belgium","Brussels, Belgium","Pannenhuis",6,"6","okt","1982",4.3421782,50.8729492
"40","Brussels","Park;Brussels, Belgium","Brussels, Belgium","Park",1,"17","dec","1969",4.3641901,50.8454323
"41","Brussels","P�tillon;Brussels, Belgium","Brussels, Belgium","P�tillon",5,"20","sep","1976",4.4039854,50.827419
"42","Brussels","Ribaucourt;Brussels, Belgium","Brussels, Belgium","Ribaucourt",2,"2","okt","1988",4.3384765,50.8607881
"43","Brussels","Rogier;Brussels, Belgium","Brussels, Belgium","Rogier",2,"18","aug","1974",4.35803,50.855702
"44","Brussels","Roodebeek;Brussels, Belgium","Brussels, Belgium","Roodebeek",1,"7","mei","1982",4.4359313,50.8477918
"45","Brussels","Sainctelette;Brussels, Belgium","Brussels, Belgium","Sainctelette",2,"NA","NA","NA",4.3477765,50.8584518
"46","Brussels","Schuman;Brussels, Belgium","Brussels, Belgium","Schuman",1,"17","dec","1969",4.380725,50.84328
"47","Brussels","Simonis;Brussels, Belgium","Brussels, Belgium","Simonis",2,"6","okt","1982",4.3309486,50.8635768
"48","Brussels","Sint-Guido;Brussels, Belgium","Brussels, Belgium","Sint-Guido",5,"6","okt","1982",4.305212,50.834856
"49","Brussels","Sint-Katelijne;Brussels, Belgium","Brussels, Belgium","Sint-Katelijne",1,"13","apr","1977",4.3477391,50.85211
"50","Brussels","Stokkel;Brussels, Belgium","Brussels, Belgium","Stokkel",1,"31","aug","1988",4.465325,50.841081
"51","Brussels","Stuyvenbergh;Brussels, Belgium","Brussels, Belgium","Stuyvenbergh",6,"10","mei","1985",4.3421281,50.8864001
"52","Brussels","Thieffry;Brussels, Belgium","Brussels, Belgium","Thieffry",5,"20","sep","1976",4.4017775,50.8330829
"53","Brussels","Tomberg;Brussels, Belgium","Brussels, Belgium","Tomberg",1,"20","sep","1976",4.4259664,50.8426928
"54","Brussels","Troon;Brussels, Belgium","Brussels, Belgium","Troon",2,"20","dec","1970",4.366128,50.8406825
"55","Brussels","Vandervelde;Brussels, Belgium","Brussels, Belgium","Vandervelde",1,"7","mei","1982",4.447894,50.8473374
"56","Brussels","Veeweide;Brussels, Belgium","Brussels, Belgium","Veeweide",5,"5","jul","1985",4.3074131,50.8300555
"57","Brussels","Weststation;Brussels, Belgium","Brussels, Belgium","Weststation",1,"6","okt","1982",4.32097,50.848843
"58","Brussels","IJzer;Brussels, Belgium","Brussels, Belgium","IJzer",2,"2","okt","1988",4.3529978,50.8570373
"59","Brussels","Zuidstation;Brussels, Belgium","Brussels, Belgium","Zuidstation",2,"2","okt","1988",4.3347878,50.8364411
"60","Brussels","Zwarte Vijvers;Brussels, Belgium","Brussels, Belgium","Zwarte Vijvers",1,"8","mei","1981",4.3323699,50.8570913
